Store Name,Address,Suite,City,State,ZIP,Radius
South Lake Community College,1 College Dr,, South Lake Tahoe, CA,96150,2
Mont Bleau Hotel,4080 Lake Tahoe Blvd,, South Lake Tahoe, CA,96150,2
