"'RU0888848',"
"'RU0888872',"
"'RU0888875',"
"'RU3222212',"
"'RU3222215',"
"'RU3222218',"
"'RU0888880',"
"'RU0888847',"
"'RU0888883',"
"'RU0888871',"
"'RU0888886',"
"'RU0888874',"
"'RU3222220',"
"'RU0888877',"
"'RU3222223',"
"'RU3222211',"
"'RU3222226',"
"'RU3222214',"
"'RU0888884',"
"'RU0888846',"
"'RU0888887',"
"'RU0888870',"
"'RU3222221',"
"'RU0888873',"
"'RU3222224',"
"'RU0888876',"
"'RU3222227',"
"'RU3222210',"
"'RU0888888',"
"'RU0888838',"
"'RU3222222',"
"'RU0888862',"
"'RU3222225',"
"'RU0888865',"
"'RU3222228',"
"'RU0888868',"
"'RU0888878',"
"'RU3222251',"
"'RU3222257',"
"'RU3222281',"
"'RU3222284',"
"'RU3222252',"
"'RU3222255',"
"'RU3222250',"
"'RU3222258',"
"'RU3222253',"
"'RU3222282',"
"'RU3222256',"
"'RU3222285',"
"'RU3222280',"
"'RU4000030',"
"'RU4000033',"
"'RU4000036',"
"'RU3222242',"
"'RU4000060',"
"'RU3222245',"
"'RU4000063',"
"'RU3222248',"
"'RU4000034',"
"'RU4000037',"
"'RU3222217',"
"'RU4000061',"
"'RU3222241',"
"'RU4000064',"
"'RU3222244',"
"'RU3222254',"
