address_1,address_2,postal_code_name,postal_code_suffix,latitude,longitude,radius,country_code
1 College Dr,,96150,,38.9267375,-119.9726187,2,US
4080 Lake Tahoe Blvd,,96150,,38.9568397,-119.9427089,2,US
